PhaseView,Run,Trial,Key,Time,Location,Direction,MazeType,Diamonds,WallBumped
1,3,7,2,1505.062,3 4,North,2,0,18
1,3,7,2,1505.993,2 4,North,2,0,18
1,3,7,2,1506.822,1 4,North,2,0,18
1,3,7,1,1507.573,1 3,North,2,0,18
1,3,7,4,1508.25,2 3,North,2,0,18
1,3,7,6,1508.6,2 3,North,2,1,18
1,3,7,1,1509.077,2 2,North,2,1,18
1,3,7,3,1511.062,2 3,North,2,1,18
1,3,7,2,1511.652,1 3,North,2,1,18
1,3,7,3,1512.329,1 4,North,2,1,18
1,3,7,4,1512.931,2 4,North,2,1,18
1,3,7,4,1513.48,3 4,North,2,1,18
1,3,7,4,1514.07,4 4,North,2,1,18
1,3,7,1,1514.682,4 3,North,2,1,18
1,3,7,1,1515.237,4 2,North,2,1,18
1,3,7,2,1515.943,3 2,North,2,1,18
1,3,7,1,1516.665,3 1,North,2,1,18
1,3,7,2,1517.303,2 1,North,2,1,18
1,3,7,2,1517.927,1 1,North,2,1,18
1,3,7,1,1518.519,1 0,North,2,1,18
1,3,7,4,1519.083,2 0,North,2,1,18
1,3,7,4,1519.735,3 0,North,2,1,18
1,3,7,6,1520.1,3 0,North,2,2,18
1,3,7,4,1520.566,4 0,North,2,2,18
1,3,7,3,1521.187,4 1,North,2,2,18
1,3,7,6,1521.6,4 1,North,2,3,18
1,3,7,1,1521.939,4 0,North,2,3,18
1,3,7,2,1522.665,3 0,North,2,3,18
1,3,7,2,1523.285,2 0,North,2,3,18
1,3,7,2,1524.091,1 0,North,2,3,18
1,3,7,3,1524.695,1 1,North,2,3,18
1,3,7,4,1525.287,2 1,North,2,3,18
1,3,7,4,1526.179,3 1,North,2,3,18
1,3,7,3,1526.859,3 2,North,2,3,18
1,3,7,4,1527.496,4 2,North,2,3,18
1,3,7,3,1528.181,4 3,North,2,3,18
1,3,7,3,1529.58,4 4,North,2,3,18
1,3,7,2,1530.217,3 4,North,2,3,18
1,3,7,2,1530.828,2 4,North,2,3,18
1,3,7,2,1531.515,1 4,North,2,3,18
1,3,7,6,1531.9,1 4,North,2,4,18
1,3,7,1,1532.279,1 3,North,2,4,18
1,3,7,3,1533.274,1 4,North,2,4,18
1,3,7,4,1533.99,2 4,North,2,4,18
1,3,7,4,1534.714,3 4,North,2,4,18
1,3,7,4,1535.37,4 4,North,2,4,18
1,3,7,1,1535.963,4 3,North,2,4,18
1,3,7,1,1536.62,4 2,North,2,4,18
1,3,7,6,1537.02,4 2,North,2,5,18
1,3,7,2,1537.627,3 2,North,2,5,18
1,3,7,1,1538.267,3 1,North,2,5,18
1,3,7,2,1538.877,2 1,North,2,5,18
1,3,7,2,1539.497,1 1,North,2,5,18
1,3,7,1,1540.088,1 0,North,2,5,18
1,3,7,4,1540.729,2 0,North,2,5,18
1,3,7,4,1541.48,3 0,North,2,5,18
1,3,7,4,1542.202,4 0,North,2,5,18
1,3,7,6,1542.56,4 0,North,2,6,18
1,3,7,2,1542.919,3 0,North,2,6,18
1,3,7,2,1543.692,2 0,North,2,6,18
1,3,7,2,1544.443,1 0,North,2,6,18
1,3,7,3,1545,1 1,North,2,6,18
1,3,7,4,1546.153,2 1,North,2,6,18
1,3,7,4,1546.885,3 1,North,2,6,18
1,3,7,3,1547.452,3 2,North,2,6,18
1,3,7,6,1547.86,3 2,North,2,7,18
1,3,7,4,1548.203,4 2,North,2,7,18
1,3,7,3,1548.775,4 3,North,2,7,18
1,3,7,6,1549.16,4 3,North,2,8,18
2,3,7,2,1553.782,3 4,North,2,0,0
2,3,7,1,1555.581,3 4,West,2,0,0
2,3,7,2,1556.583,3 4,West,2,0,1
2,3,7,1,1557.132,3 4,South,2,0,1
2,3,7,2,1557.773,4 4,South,2,0,1
2,3,7,3,1558.456,4 4,West,2,0,1
2,3,7,2,1559.172,4 3,West,2,0,1
2,3,7,2,1559.853,4 2,West,2,0,1
2,3,7,3,1560.439,4 2,North,2,0,1
2,3,7,2,1561.18,3 2,North,2,0,1
2,3,7,6,1561.56,3 2,North,2,1,1
2,3,7,3,1562.2,3 2,East,2,1,1
2,3,7,3,1562.796,3 2,South,2,1,1
2,3,7,2,1563.444,4 2,South,2,1,1
2,3,7,1,1563.997,4 2,East,2,1,1
2,3,7,2,1564.596,4 3,East,2,1,1
2,3,7,2,1565.173,4 4,East,2,1,1
2,3,7,1,1565.741,4 4,North,2,1,1
2,3,7,2,1566.335,3 4,North,2,1,1
2,3,7,2,1566.906,2 4,North,2,1,1
2,3,7,2,1567.607,1 4,North,2,1,1
2,3,7,6,1568,1 4,North,2,2,1
2,3,7,1,1568.36,1 4,West,2,2,1
2,3,7,1,1569.066,1 4,South,2,2,1
2,3,7,2,1569.626,2 4,South,2,2,1
2,3,7,2,1570.181,3 4,South,2,2,1
2,3,7,2,1570.794,4 4,South,2,2,1
2,3,7,3,1571.321,4 4,West,2,2,1
2,3,7,2,1571.855,4 3,West,2,2,1
2,3,7,2,1572.409,4 2,West,2,2,1
2,3,7,2,1573.03,4 2,West,2,2,2
2,3,7,3,1573.526,4 2,North,2,2,2
2,3,7,2,1574.075,3 2,North,2,2,2
2,3,7,1,1574.804,3 2,West,2,2,2
2,3,7,2,1575.481,3 1,West,2,2,2
2,3,7,2,1576.171,3 1,West,2,2,3
2,3,7,3,1576.648,3 1,North,2,2,3
2,3,7,2,1577.212,2 1,North,2,2,3
2,3,7,1,1577.963,2 1,West,2,2,3
2,3,7,2,1578.604,2 1,West,2,2,4
2,3,7,3,1579.099,2 1,North,2,2,4
2,3,7,2,1579.752,1 1,North,2,2,4
2,3,7,1,1580.501,1 1,West,2,2,4
2,3,7,2,1581.109,1 0,West,2,2,4
2,3,7,1,1581.704,1 0,South,2,2,4
2,3,7,2,1582.324,2 0,South,2,2,4
2,3,7,2,1583.287,3 0,South,2,2,4
2,3,7,2,1584.069,4 0,South,2,2,4
2,3,7,6,1584.44,4 0,South,2,3,4
2,3,7,1,1584.838,4 0,East,2,3,4
2,3,7,1,1585.46,4 0,North,2,3,4
2,3,7,2,1586.363,3 0,North,2,3,4
2,3,7,2,1586.957,2 0,North,2,3,4
2,3,7,2,1587.548,1 0,North,2,3,4
2,3,7,2,1588.185,1 0,North,2,3,5
2,3,7,3,1588.664,1 0,East,2,3,5
2,3,7,2,1589.286,1 1,East,2,3,5
2,3,7,2,1589.978,1 1,East,2,3,6
2,3,7,3,1590.39,1 1,South,2,3,6
2,3,7,2,1591.005,2 1,South,2,3,6
2,3,7,1,1591.594,2 1,East,2,3,6
2,3,7,2,1592.199,2 1,East,2,3,7
2,3,7,3,1592.697,2 1,South,2,3,7
2,3,7,2,1593.293,3 1,South,2,3,7
2,3,7,2,1593.961,3 1,South,2,3,8
2,3,7,3,1594.794,3 1,West,2,3,8
2,3,7,1,1595.432,3 1,South,2,3,8
2,3,7,1,1596.043,3 1,East,2,3,8
2,3,7,2,1596.73,3 2,East,2,3,8
2,3,7,2,1597.815,3 3,East,2,3,8
2,3,7,1,1598.397,3 3,North,2,3,8
2,3,7,2,1599.054,3 3,North,2,3,9
2,3,7,1,1599.545,3 3,West,2,3,9
2,3,7,2,1600.121,3 2,West,2,3,9
2,3,7,3,1600.681,3 2,North,2,3,9
2,3,7,2,1601.373,3 2,North,2,3,10
2,3,7,3,1601.881,3 2,East,2,3,10
2,3,7,2,1602.429,3 3,East,2,3,10
2,3,7,2,1603.05,3 3,East,2,3,11
2,3,7,3,1603.544,3 3,South,2,3,11
2,3,7,2,1604.149,3 3,South,2,3,12
2,3,7,3,1605.098,3 3,West,2,3,12
2,3,7,2,1605.717,3 2,West,2,3,12
2,3,7,1,1606.275,3 2,South,2,3,12
2,3,7,2,1606.858,4 2,South,2,3,12
2,3,7,1,1607.384,4 2,East,2,3,12
2,3,7,2,1608.391,4 3,East,2,3,12
2,3,7,2,1608.948,4 4,East,2,3,12
2,3,7,1,1609.545,4 4,North,2,3,12
2,3,7,2,1610.198,3 4,North,2,3,12
2,3,7,2,1610.791,2 4,North,2,3,12
2,3,7,1,1611.324,2 4,West,2,3,12
2,3,7,2,1611.979,2 4,West,2,3,13
2,3,7,3,1613.717,2 4,North,2,3,13
2,3,7,2,1614.376,1 4,North,2,3,13
2,3,7,1,1615.069,1 4,West,2,3,13
2,3,7,2,1615.687,1 3,West,2,3,13
2,3,7,1,1616.286,1 3,South,2,3,13
2,3,7,2,1616.919,2 3,South,2,3,13
2,3,7,6,1617.3,2 3,South,2,4,13
2,3,7,3,1617.91,2 3,West,2,4,13
2,3,7,3,1619.836,2 3,North,2,4,13
2,3,7,2,1620.462,1 3,North,2,4,13
2,3,7,3,1621.013,1 3,East,2,4,13
2,3,7,2,1621.555,1 4,East,2,4,13
2,3,7,3,1622.07,1 4,South,2,4,13
2,3,7,2,1622.632,2 4,South,2,4,13
2,3,7,2,1623.194,3 4,South,2,4,13
2,3,7,2,1623.781,4 4,South,2,4,13
2,3,7,3,1624.405,4 4,West,2,4,13
2,3,7,2,1624.95,4 3,West,2,4,13
2,3,7,2,1625.946,4 2,West,2,4,13
2,3,7,2,1626.597,4 2,West,2,4,14
2,3,7,3,1627.154,4 2,North,2,4,14
2,3,7,2,1627.721,3 2,North,2,4,14
2,3,7,1,1628.327,3 2,West,2,4,14
2,3,7,2,1628.951,3 1,West,2,4,14
2,3,7,2,1629.672,3 1,West,2,4,15
2,3,7,3,1630.189,3 1,North,2,4,15
2,3,7,2,1630.713,2 1,North,2,4,15
2,3,7,1,1631.254,2 1,West,2,4,15
2,3,7,2,1631.844,2 1,West,2,4,16
2,3,7,3,1632.329,2 1,North,2,4,16
2,3,7,2,1632.921,1 1,North,2,4,16
2,3,7,2,1633.62,1 1,North,2,4,17
2,3,7,3,1634.424,1 1,East,2,4,17
2,3,7,1,1635.324,1 1,North,2,4,17
2,3,7,1,1635.913,1 1,West,2,4,17
2,3,7,2,1636.678,1 0,West,2,4,17
2,3,7,1,1637.292,1 0,South,2,4,17
2,3,7,2,1637.913,2 0,South,2,4,17
2,3,7,2,1638.662,3 0,South,2,4,17
2,3,7,6,1639.04,3 0,South,2,5,17
2,3,7,1,1639.437,3 0,East,2,5,17
2,3,7,3,1640.251,3 0,South,2,5,17
2,3,7,2,1640.983,4 0,South,2,5,17
2,3,7,1,1641.597,4 0,East,2,5,17
2,3,7,2,1642.25,4 1,East,2,5,17
2,3,7,2,1643.08,4 1,East,2,5,18
2,3,7,1,1643.644,4 1,North,2,5,18
2,3,7,2,1644.327,4 1,North,2,5,19
2,3,7,1,1645.111,4 1,West,2,5,19
2,3,7,2,1645.669,4 0,West,2,5,19
2,3,7,3,1646.601,4 0,North,2,5,19
2,3,7,2,1647.194,3 0,North,2,5,19
2,3,7,2,1647.764,2 0,North,2,5,19
2,3,7,3,1648.359,2 0,East,2,5,19
2,3,7,2,1648.964,2 0,East,2,5,20
2,3,7,1,1649.493,2 0,North,2,5,20
2,3,7,2,1650.172,1 0,North,2,5,20
2,3,7,3,1651.004,1 0,East,2,5,20
2,3,7,2,1651.719,1 1,East,2,5,20
2,3,7,2,1652.605,1 1,East,2,5,21
2,3,7,3,1653.128,1 1,South,2,5,21
2,3,7,2,1653.773,2 1,South,2,5,21
2,3,7,2,1654.566,3 1,South,2,5,21
2,3,7,2,1655.435,3 1,South,2,5,22
2,3,7,1,1655.96,3 1,East,2,5,22
2,3,7,2,1656.597,3 2,East,2,5,22
2,3,7,3,1657.485,3 2,South,2,5,22
2,3,7,2,1658.182,4 2,South,2,5,22
2,3,7,6,1658.56,4 2,South,2,6,22
2,3,7,1,1658.934,4 2,East,2,6,22
2,3,7,2,1659.879,4 3,East,2,6,22
2,3,7,1,1660.55,4 3,North,2,6,22
2,3,7,2,1661.255,4 3,North,2,6,23
2,3,7,3,1661.773,4 3,East,2,6,23
2,3,7,1,1662.409,4 3,North,2,6,23
2,3,7,1,1663.289,4 3,West,2,6,23
2,3,7,2,1663.965,4 2,West,2,6,23
2,3,7,3,1664.555,4 2,North,2,6,23
2,3,7,2,1665.259,3 2,North,2,6,23
2,3,7,3,1665.805,3 2,East,2,6,23
2,3,7,2,1666.438,3 3,East,2,6,23
2,3,7,6,1666.86,3 3,East,2,7,23
2,3,7,1,1667.244,3 3,North,2,7,23
2,3,7,3,1668.36,3 3,East,2,7,23
2,3,7,2,1669.012,3 3,East,2,7,24
2,3,7,3,1669.605,3 3,South,2,7,24
2,3,7,2,1670.236,3 3,South,2,7,25
2,3,7,3,1670.789,3 3,West,2,7,25
2,3,7,2,1671.437,3 2,West,2,7,25
2,3,7,1,1672.013,3 2,South,2,7,25
2,3,7,2,1672.682,4 2,South,2,7,25
2,3,7,1,1673.332,4 2,East,2,7,25
2,3,7,2,1673.982,4 3,East,2,7,25
2,3,7,2,1674.536,4 4,East,2,7,25
2,3,7,1,1675.226,4 4,North,2,7,25
2,3,7,2,1675.928,3 4,North,2,7,25
2,3,7,2,1676.451,2 4,North,2,7,25
2,3,7,2,1677.015,1 4,North,2,7,25
2,3,7,2,1677.621,0 4,North,2,7,25
2,3,7,1,1678.217,0 4,West,2,7,25
2,3,7,2,1678.78,0 3,West,2,7,25
2,3,7,2,1679.321,0 3,West,2,7,26
2,3,7,1,1679.906,0 3,South,2,7,26
2,3,7,2,1680.463,0 3,South,2,7,27
2,3,7,1,1681.019,0 3,East,2,7,27
2,3,7,2,1681.592,0 4,East,2,7,27
2,3,7,3,1682.198,0 4,South,2,7,27
2,3,7,2,1682.809,1 4,South,2,7,27
2,3,7,3,1683.43,1 4,West,2,7,27
2,3,7,2,1684.024,1 3,West,2,7,27
2,3,7,2,1684.621,1 3,West,2,7,28
2,3,7,3,1685.193,1 3,North,2,7,28
2,3,7,1,1686.149,1 3,West,2,7,28
2,3,7,1,1686.701,1 3,South,2,7,28
2,3,7,2,1687.374,2 3,South,2,7,28
2,3,7,3,1687.973,2 3,West,2,7,28
2,3,7,2,1688.694,2 2,West,2,7,28
2,3,7,3,1689.338,2 2,North,2,7,28
