PhaseView,Run,Trial,Key,Time,Location,Direction,MazeType,Diamonds,WallBumped
1,3,7,1,747.6019,4 3,North,2,0,3
1,3,7,1,748.4639,4 2,North,2,0,3
1,3,7,6,748.86,4 2,North,2,1,3
1,3,7,3,749.4674,4 3,North,2,1,3
1,3,7,3,750.035,4 4,North,2,1,3
1,3,7,2,750.6265,3 4,North,2,1,3
1,3,7,2,751.2034,2 4,North,2,1,3
1,3,7,2,751.7269,1 4,North,2,1,3
1,3,7,1,752.2517,1 3,North,2,1,3
1,3,7,6,752.66,1 3,North,2,2,3
1,3,7,4,753.139,2 3,North,2,2,3
1,3,7,1,753.9823,2 2,North,2,2,3
1,3,7,2,754.5425,1 2,North,2,2,3
1,3,7,2,755.0898,0 2,North,2,2,3
1,3,7,6,755.48,0 2,North,2,3,3
1,3,7,4,755.6612,1 2,North,2,3,3
1,3,7,4,756.5389,2 2,North,2,3,3
1,3,7,3,757.0584,2 3,North,2,3,3
1,3,7,2,757.6172,1 3,North,2,3,3
1,3,7,3,758.4614,1 4,North,2,3,3
1,3,7,4,759.0203,2 4,North,2,3,3
1,3,7,4,759.9164,3 4,North,2,3,3
1,3,7,4,760.5468,4 4,North,2,3,3
1,3,7,1,761.1221,4 3,North,2,3,3
1,3,7,1,761.7105,4 2,North,2,3,3
1,3,7,2,762.3214,3 2,North,2,3,3
1,3,7,1,763.1834,3 1,North,2,3,3
1,3,7,2,763.7073,2 1,North,2,3,3
1,3,7,2,764.6051,1 1,North,2,3,3
1,3,7,1,765.1807,1 0,North,2,3,3
1,3,7,4,765.7286,2 0,North,2,3,3
1,3,7,4,766.579,3 0,North,2,3,3
1,3,7,4,767.1474,4 0,North,2,3,3
1,3,7,6,767.5,4 0,North,2,4,3
1,3,7,2,767.869,3 0,North,2,4,3
1,3,7,2,768.4139,2 0,North,2,4,3
1,3,7,2,769.0881,1 0,North,2,4,3
1,3,7,3,769.6993,1 1,North,2,4,3
1,3,7,4,770.5317,2 1,North,2,4,3
1,3,7,4,771.4256,3 1,North,2,4,3
1,3,7,3,771.9541,3 2,North,2,4,3
1,3,7,6,772.36,3 2,North,2,5,3
1,3,7,1,772.731,3 1,North,2,5,3
1,3,7,3,773.5536,3 2,North,2,5,3
1,3,7,4,774.0909,4 2,North,2,5,3
1,3,7,3,774.6581,4 3,North,2,5,3
1,3,7,3,775.5551,4 4,North,2,5,3
1,3,7,2,776.0761,3 4,North,2,5,3
1,3,7,2,776.6732,2 4,North,2,5,3
1,3,7,2,777.3436,1 4,North,2,5,3
1,3,7,1,777.8828,1 3,North,2,5,3
1,3,7,4,778.4657,2 3,North,2,5,3
1,3,7,1,779.261,2 2,North,2,5,3
1,3,7,2,779.8119,1 2,North,2,5,3
1,3,7,2,780.3331,0 2,North,2,5,3
1,3,7,1,780.8627,0 1,North,2,5,3
1,3,7,1,781.739,0 0,North,2,5,3
1,3,7,6,782.14,0 0,North,2,6,3
1,3,7,3,782.556,0 1,North,2,6,3
1,3,7,3,783.1049,0 2,North,2,6,3
1,3,7,4,783.7095,1 2,North,2,6,3
1,3,7,6,784.08,1 2,North,2,7,3
1,3,7,4,784.5914,2 2,North,2,7,3
1,3,7,3,785.1487,2 3,North,2,7,3
1,3,7,2,785.6962,1 3,North,2,7,3
1,3,7,3,786.6092,1 4,North,2,7,3
1,3,7,4,787.167,2 4,North,2,7,3
1,3,7,4,788.1613,3 4,North,2,7,3
1,3,7,6,788.52,3 4,North,2,8,3
3,3,7,2,793.8239,3 4,North,2,0,0
3,3,7,2,794.3715,2 4,North,2,0,0
3,3,7,2,795.0216,1 4,North,2,0,0
3,3,7,1,795.6046,1 3,North,2,0,0
3,3,7,6,796.02,1 3,North,2,1,0
3,3,7,3,796.4954,1 4,North,2,1,0
3,3,7,4,797.3586,2 4,North,2,1,0
3,3,7,4,797.8897,3 4,North,2,1,0
3,3,7,4,798.7847,4 4,North,2,1,0
3,3,7,1,799.6301,4 3,North,2,1,0
3,3,7,2,800.2769,4 3,North,2,1,1
3,3,7,1,800.975,4 2,North,2,1,1
3,3,7,6,801.38,4 2,North,2,2,1
3,3,7,3,801.9219,4 3,North,2,2,1
3,3,7,3,802.4624,4 4,North,2,2,1
3,3,7,2,803.0386,3 4,North,2,2,1
3,3,7,6,803.42,3 4,North,2,3,1
3,3,7,2,804.0304,2 4,North,2,3,1
3,3,7,4,804.7525,3 4,North,2,3,1
3,3,7,2,807.6981,2 4,North,2,3,1
3,3,7,2,808.6082,1 4,North,2,3,1
3,3,7,1,809.7438,1 3,North,2,3,1
3,3,7,4,810.3192,2 3,North,2,3,1
3,3,7,1,810.8951,2 2,North,2,3,1
3,3,7,2,811.5202,1 2,North,2,3,1
3,3,7,2,812.2543,0 2,North,2,3,1
3,3,7,1,812.8297,0 1,North,2,3,1
3,3,7,1,813.4074,0 0,North,2,3,1
3,3,7,6,813.82,0 0,North,2,4,1
3,3,7,3,814.1893,0 1,North,2,4,1
3,3,7,3,815.1196,0 2,North,2,4,1
3,3,7,4,815.7106,1 2,North,2,4,1
3,3,7,4,816.2769,2 2,North,2,4,1
3,3,7,3,817.1721,2 3,North,2,4,1
3,3,7,2,818.014,1 3,North,2,4,1
3,3,7,3,818.5432,1 4,North,2,4,1
3,3,7,4,819.1077,2 4,North,2,4,1
3,3,7,4,819.6984,3 4,North,2,4,1
3,3,7,4,820.3079,4 4,North,2,4,1
3,3,7,1,820.8763,4 3,North,2,4,1
3,3,7,6,821.28,4 3,North,2,5,1
3,3,7,3,821.6783,4 4,North,2,5,1
3,3,7,2,822.5432,3 4,North,2,5,1
3,3,7,2,823.0892,2 4,North,2,5,1
3,3,7,6,823.48,2 4,North,2,6,1
3,3,7,2,824.1575,1 4,North,2,6,1
3,3,7,1,825.0363,1 3,North,2,6,1
3,3,7,2,825.6024,1 3,North,2,6,2
3,3,7,3,826.1277,1 4,North,2,6,2
3,3,7,2,826.6667,0 4,North,2,6,2
3,3,7,1,827.2046,0 3,North,2,6,2
3,3,7,6,827.6,0 3,North,2,7,2
3,3,7,3,827.7479,0 4,North,2,7,2
3,3,7,4,828.5934,1 4,North,2,7,2
3,3,7,1,829.1519,1 3,North,2,7,2
3,3,7,4,829.709,2 3,North,2,7,2
3,3,7,1,830.5439,2 2,North,2,7,2
3,3,7,2,832.4778,1 2,North,2,7,2
3,3,7,2,833.0563,0 2,North,2,7,2
3,3,7,1,833.6765,0 1,North,2,7,2
3,3,7,6,834.08,0 1,North,2,8,2
1,3,8,1,837.8508,4 3,North,2,0,2
1,3,8,1,838.4348,4 2,North,2,0,2
1,3,8,2,839.0093,3 2,North,2,0,2
1,3,8,1,839.8752,3 1,North,2,0,2
1,3,8,6,840.28,3 1,North,2,1,2
1,3,8,3,840.514,3 2,North,2,1,2
1,3,8,4,841.3474,4 2,North,2,1,2
1,3,8,3,841.8586,4 3,North,2,1,2
1,3,8,3,842.8337,4 4,North,2,1,2
1,3,8,2,843.3922,3 4,North,2,1,2
1,3,8,2,843.9189,2 4,North,2,1,2
1,3,8,2,844.5118,1 4,North,2,1,2
1,3,8,6,844.9,1 4,North,2,2,2
1,3,8,1,845.2329,1 3,North,2,2,2
1,3,8,3,845.7473,1 4,North,2,2,2
1,3,8,4,846.5322,2 4,North,2,2,2
1,3,8,4,847.0533,3 4,North,2,2,2
1,3,8,4,847.65,4 4,North,2,2,2
1,3,8,1,848.2431,4 3,North,2,2,2
1,3,8,1,849.0908,4 2,North,2,2,2
1,3,8,2,849.6667,3 2,North,2,2,2
1,3,8,1,850.1772,3 1,North,2,2,2
1,3,8,2,850.7167,2 1,North,2,2,2
1,3,8,6,851.1,2 1,North,2,3,2
1,3,8,4,851.438,3 1,North,2,3,2
1,3,8,3,852.4977,3 2,North,2,3,2
1,3,8,3,853.0372,3 3,North,2,3,2
1,3,8,6,853.44,3 3,North,2,4,2
1,3,8,1,853.6685,3 2,North,2,4,2
1,3,8,4,854.2253,4 2,North,2,4,2
1,3,8,3,854.835,4 3,North,2,4,2
1,3,8,3,855.3573,4 4,North,2,4,2
1,3,8,2,855.887,3 4,North,2,4,2
1,3,8,2,856.4155,2 4,North,2,4,2
1,3,8,6,856.8,2 4,North,2,5,2
1,3,8,4,857.3785,3 4,North,2,5,2
1,3,8,4,858.4128,4 4,North,2,5,2
1,3,8,1,858.9604,4 3,North,2,5,2
1,3,8,1,859.4719,4 2,North,2,5,2
1,3,8,2,860.0934,3 2,North,2,5,2
1,3,8,1,860.6042,3 1,North,2,5,2
1,3,8,2,861.1324,2 1,North,2,5,2
1,3,8,2,861.6432,1 1,North,2,5,2
1,3,8,1,862.5464,1 0,North,2,5,2
1,3,8,4,863.394,2 0,North,2,5,2
1,3,8,4,863.9036,3 0,North,2,5,2
1,3,8,6,864.26,3 0,North,2,6,2
1,3,8,2,864.6212,2 0,North,2,6,2
1,3,8,2,865.4881,1 0,North,2,6,2
1,3,8,3,866.035,1 1,North,2,6,2
1,3,8,6,866.44,1 1,North,2,7,2
1,3,8,1,866.8502,1 0,North,2,7,2
1,3,8,4,867.4247,2 0,North,2,7,2
1,3,8,6,867.78,2 0,North,2,8,2
3,3,8,2,872.2195,3 4,North,2,0,0
3,3,8,2,872.7887,2 4,North,2,0,0
3,3,8,6,873.18,2 4,North,2,1,0
3,3,8,4,873.6622,3 4,North,2,1,0
3,3,8,4,874.2037,4 4,North,2,1,0
3,3,8,1,875.1241,4 3,North,2,1,0
3,3,8,1,875.6989,4 2,North,2,1,0
3,3,8,2,876.322,3 2,North,2,1,0
3,3,8,1,877.1501,3 1,North,2,1,0
3,3,8,2,877.6812,2 1,North,2,1,0
3,3,8,2,878.1948,1 1,North,2,1,0
3,3,8,1,878.7333,1 0,North,2,1,0
3,3,8,4,879.2683,2 0,North,2,1,0
3,3,8,4,879.8031,3 0,North,2,1,0
3,3,8,6,880.16,3 0,North,2,2,0
3,3,8,2,880.5386,2 0,North,2,2,0
3,3,8,2,881.5252,1 0,North,2,2,0
3,3,8,3,882.0477,1 1,North,2,2,0
3,3,8,4,882.6442,2 1,North,2,2,0
3,3,8,6,883,2 1,North,2,3,0
3,3,8,4,883.4734,3 1,North,2,3,0
3,3,8,3,884.4171,3 2,North,2,3,0
3,3,8,4,884.9573,4 2,North,2,3,0
3,3,8,3,885.7746,4 3,North,2,3,0
3,3,8,3,886.3047,4 4,North,2,3,0
3,3,8,2,886.82,3 4,North,2,3,0
3,3,8,2,887.3765,2 4,North,2,3,0
