PhaseView,Run,Trial,Key,Time,Location,Direction,MazeType,Diamonds,WallBumped
0,1,1,1,3.592203,4 4,West,1,0,0
0,1,1,3,4.435822,4 4,North,1,0,0
0,1,1,1,5.302252,4 4,West,1,0,0
0,1,1,3,6.165441,4 4,North,1,0,0
0,1,1,1,7.058808,4 4,West,1,0,0
0,1,1,2,7.828467,4 3,West,1,0,0
0,1,1,3,8.985164,4 3,North,1,0,0
0,1,1,2,9.702418,3 3,North,1,0,0
0,1,1,6,10.08,3 3,North,1,1,0
0,1,1,2,10.77381,2 3,North,1,1,0
0,1,1,3,11.70739,2 3,East,1,1,0
0,1,1,2,12.26438,2 4,East,1,1,0
0,1,1,1,12.77606,2 4,North,1,1,0
0,1,1,2,13.37032,1 4,North,1,1,0
0,1,1,2,14.32353,0 4,North,1,1,0
0,1,1,1,14.95112,0 4,West,1,1,0
0,1,1,2,15.85953,0 3,West,1,1,0
0,1,1,2,16.68335,0 2,West,1,1,0
0,1,1,6,17.1,0 2,West,1,2,0
0,1,1,3,17.51449,0 2,North,1,2,0
0,1,1,3,18.21164,0 2,East,1,2,0
0,1,1,2,18.83437,0 3,East,1,2,0
0,1,1,2,19.3847,0 4,East,1,2,0
0,1,1,3,19.91381,0 4,South,1,2,0
0,1,1,2,20.67836,1 4,South,1,2,0
0,1,1,2,21.54045,2 4,South,1,2,0
0,1,1,2,23.0904,3 4,South,1,2,0
0,1,1,2,24.01138,4 4,South,1,2,0
0,1,1,3,24.61302,4 4,West,1,2,0
0,1,1,3,25.94513,4 4,North,1,2,0
0,1,1,1,26.87512,4 4,West,1,2,0
0,1,1,2,28.4209,4 3,West,1,2,0
0,1,1,6,28.82,4 3,West,1,3,0
0,1,1,3,29.32038,4 3,North,1,3,0
0,1,1,2,30.6157,3 3,North,1,3,0
0,1,1,2,31.31793,2 3,North,1,3,0
0,1,1,1,32.57999,2 3,West,1,3,0
0,1,1,2,33.6041,2 2,West,1,3,0
0,1,1,6,34.02,2 2,West,1,4,0
0,1,1,2,34.55364,2 1,West,1,4,0
0,1,1,1,35.66955,2 1,South,1,4,0
0,1,1,2,36.37806,3 1,South,1,4,0
0,1,1,3,36.98534,3 1,West,1,4,0
0,1,1,2,37.60998,3 0,West,1,4,0
0,1,1,6,38.02,3 0,West,1,5,0
0,1,1,1,38.48562,3 0,South,1,5,0
0,1,1,1,39.36761,3 0,East,1,5,0
0,1,1,2,40.12131,3 1,East,1,5,0
0,1,1,1,40.67442,3 1,North,1,5,0
0,1,1,2,41.30755,2 1,North,1,5,0
0,1,1,3,41.92439,2 1,East,1,5,0
0,1,1,2,42.62681,2 2,East,1,5,0
0,1,1,2,43.47853,2 3,East,1,5,0
0,1,1,2,44.31171,2 4,East,1,5,0
0,1,1,6,44.72,2 4,East,1,6,0
0,1,1,3,45.02604,2 4,South,1,6,0
0,1,1,3,45.61907,2 4,West,1,6,0
0,1,1,2,46.37638,2 3,West,1,6,0
0,1,1,1,46.9629,2 3,South,1,6,0
0,1,1,2,47.70079,3 3,South,1,6,0
0,1,1,3,48.52022,3 3,West,1,6,0
0,1,1,2,50.23383,3 2,West,1,6,0
0,1,1,6,50.64,3 2,West,1,7,0
0,1,1,1,51.0951,3 2,South,1,7,0
0,1,1,2,51.84993,4 2,South,1,7,0
0,1,1,6,52.22,4 2,South,1,8,0
2,1,1,1,56.84009,4 4,West,1,0,0
2,1,1,2,59.38785,4 3,West,1,0,0
2,1,1,6,59.8,4 3,West,1,1,0
2,1,1,3,61.8923,4 3,North,1,1,0
2,1,1,3,62.60015,4 3,East,1,1,0
2,1,1,2,63.22339,4 4,East,1,1,0
2,1,1,1,64.243,4 4,North,1,1,0
2,1,1,2,64.8345,3 4,North,1,1,0
2,1,1,1,65.67654,3 4,West,1,1,0
2,1,1,2,66.32964,3 4,West,1,1,1
2,1,1,3,67.73752,3 4,North,1,1,1
2,1,1,1,68.43555,3 4,West,1,1,1
2,1,1,1,69.31676,3 4,South,1,1,1
2,1,1,2,70.04005,4 4,South,1,1,1
