PhaseView,Run,Trial,Key,Time,Location,Direction,MazeType,Diamonds,WallBumped
0,3,7,2,481.7,3 4,North,2,0,1
0,3,7,2,482.5621,2 4,North,2,0,1
0,3,7,2,483.5091,1 4,North,2,0,1
0,3,7,1,484.1498,1 4,West,2,0,1
0,3,7,2,485.7673,1 3,West,2,0,1
0,3,7,1,486.328,1 3,South,2,0,1
0,3,7,2,487.1062,2 3,South,2,0,1
0,3,7,3,487.9378,2 3,West,2,0,1
0,3,7,2,488.633,2 2,West,2,0,1
0,3,7,3,489.2514,2 2,North,2,0,1
0,3,7,2,490.3836,1 2,North,2,0,1
0,3,7,2,491.0948,0 2,North,2,0,1
0,3,7,1,492.1782,0 2,West,2,0,1
0,3,7,2,492.9915,0 1,West,2,0,1
0,3,7,2,493.9408,0 0,West,2,0,1
0,3,7,2,494.8073,0 0,West,2,0,1
0,3,7,1,496.4541,0 0,South,2,0,1
0,3,7,1,496.978,0 0,East,2,0,1
0,3,7,2,497.6235,0 1,East,2,0,1
0,3,7,2,498.643,0 2,East,2,0,1
0,3,7,3,499.672,0 2,South,2,0,1
0,3,7,2,500.3359,1 2,South,2,0,1
0,3,7,2,501.0253,2 2,South,2,0,1
0,3,7,1,501.9038,2 2,East,2,0,1
0,3,7,2,502.5598,2 3,East,2,0,1
0,3,7,1,503.1208,2 3,North,2,0,1
0,3,7,2,503.7468,1 3,North,2,0,1
0,3,7,3,504.3034,1 3,East,2,0,1
0,3,7,2,505.1038,1 4,East,2,0,1
0,3,7,3,505.972,1 4,South,2,0,1
0,3,7,3,507.0464,1 4,West,2,0,1
0,3,7,1,508.5638,1 4,South,2,0,1
0,3,7,2,509.2471,2 4,South,2,0,1
0,3,7,2,509.9099,3 4,South,2,0,1
0,3,7,2,510.8197,4 4,South,2,0,1
0,3,7,3,511.4234,4 4,West,2,0,1
0,3,7,2,512.2751,4 3,West,2,0,1
0,3,7,2,513.2335,4 2,West,2,0,1
0,3,7,3,514.2009,4 2,North,2,0,1
0,3,7,2,514.9606,3 2,North,2,0,1
0,3,7,3,515.6537,3 2,East,2,0,1
0,3,7,3,517.0389,3 2,South,2,0,1
0,3,7,3,517.6207,3 2,West,2,0,1
0,3,7,2,518.2566,3 1,West,2,0,1
0,3,7,3,518.8381,3 1,North,2,0,1
0,3,7,2,519.535,2 1,North,2,0,1
0,3,7,2,520.2115,1 1,North,2,0,1
0,3,7,1,521.0582,1 1,West,2,0,1
0,3,7,2,521.7824,1 0,West,2,0,1
0,3,7,1,522.3704,1 0,South,2,0,1
0,3,7,2,523.1755,2 0,South,2,0,1
0,3,7,6,523.56,2 0,South,2,1,1
0,3,7,2,525.2497,3 0,South,2,1,1
0,3,7,2,525.9115,4 0,South,2,1,1
0,3,7,1,526.4994,4 0,East,2,1,1
0,3,7,2,527.3456,4 1,East,2,1,1
0,3,7,1,528.8546,4 1,North,2,1,1
